cellID	cellType	sampleID
GSM2172383	ductal	21_male
GSM2172384	ductal	21_male
GSM2172385	acinar	38_female
GSM2172386	ductal	38_female
GSM2172387	acinar	38_female
GSM2172388	alpha	38_female
GSM2172389	ductal	38_female
GSM2172390	ductal	38_female
GSM2172391	ductal	38_female
GSM2172392	alpha	38_female
GSM2172393	alpha	38_female
GSM2172394	ductal	38_female
GSM2172395	ductal	38_female
GSM2172396	alpha	38_female
GSM2172397	ductal	38_female
GSM2172398	ductal	38_female
GSM2172399	ductal	38_female
GSM2172400	ductal	38_female
GSM2172401	alpha	38_female
GSM2172402	ductal	38_female
GSM2172403	beta	38_female
GSM2172404	ductal	38_female
GSM2172405	ductal	38_female
GSM2172406	ductal	38_female
GSM2172407	acinar	38_female
GSM2172408	acinar	38_female
GSM2172409	alpha	38_female
GSM2172410	ductal	38_female
GSM2172411	ductal	38_female
GSM2172412	ductal	38_female
GSM2172413	ductal	38_female
GSM2172414	ductal	38_female
GSM2172415	acinar	38_female
GSM2172416	acinar	38_female
GSM2172417	ductal	38_female
GSM2172418	ductal	38_female
GSM2172419	alpha	38_female
GSM2172420	acinar	38_female
GSM2172421	ductal	38_female
GSM2172422	ductal	38_female
GSM2172423	ductal	38_female
GSM2172424	ductal	38_female
GSM2172425	alpha	38_female
GSM2172426	ductal	38_female
GSM2172427	mesenchymal	38_female
GSM2172428	acinar	38_female
GSM2172429	acinar	38_female
GSM2172430	acinar	38_female
GSM2172431	ductal	38_female
GSM2172432	ductal	38_female
GSM2172433	alpha	38_female
GSM2172434	ductal	38_female
GSM2172435	ductal	38_female
GSM2172436	acinar	38_female
GSM2172437	acinar	38_female
GSM2172438	acinar	38_female
GSM2172439	ductal	38_female
GSM2172440	ductal	38_female
GSM2172441	ductal	38_female
GSM2172442	ductal	38_female
GSM2172443	ductal	38_female
GSM2172444	acinar	38_female
GSM2172445	ductal	38_female
GSM2172446	ductal	38_female
GSM2172447	acinar	38_female
GSM2172448	ductal	38_female
GSM2172449	ductal	38_female
GSM2172450	ductal	38_female
GSM2172451	ductal	38_female
GSM2172452	ductal	38_female
GSM2172453	ductal	38_female
GSM2172454	acinar	38_female
GSM2172455	mesenchymal	38_female
GSM2172456	ductal	38_female
GSM2172457	beta	38_female
GSM2172458	ductal	38_female
GSM2172459	ductal	38_female
GSM2172460	acinar	38_female
GSM2172461	alpha	38_female
GSM2172462	ductal	38_female
GSM2172463	acinar	38_female
GSM2172464	acinar	38_female
GSM2172465	acinar	38_female
GSM2172466	ductal	38_female
GSM2172467	acinar	38_female
GSM2172468	ductal	38_female
GSM2172469	ductal	38_female
GSM2172470	alpha	38_female
GSM2172471	ductal	38_female
GSM2172472	ductal	38_female
GSM2172473	ductal	38_female
GSM2172474	ductal	38_female
GSM2172475	alpha	38_female
GSM2172476	ductal	38_female
GSM2172477	acinar	38_female
GSM2172478	ductal	38_female
GSM2172479	acinar	38_female
GSM2172480	mesenchymal	38_female
GSM2172481	alpha	38_female
GSM2172482	ductal	38_female
GSM2172483	beta	38_female
GSM2172484	ductal	38_female
GSM2172485	ductal	38_female
GSM2172486	ductal	38_female
GSM2172487	ductal	38_female
GSM2172488	alpha	38_female
GSM2172489	beta	38_female
GSM2172490	alpha	38_female
GSM2172491	acinar	38_female
GSM2172492	ductal	38_female
GSM2172493	ductal	38_female
GSM2172494	alpha	38_female
GSM2172495	alpha	38_female
GSM2172496	ductal	38_female
GSM2172497	acinar	38_female
GSM2172498	ductal	38_female
GSM2172499	acinar	38_female
GSM2172500	ductal	38_female
GSM2172501	acinar	38_female
GSM2172502	acinar	38_female
GSM2172503	ductal	38_female
GSM2172504	ductal	38_female
GSM2172505	ductal	38_female
GSM2172506	ductal	38_female
GSM2172507	beta	38_female
GSM2172508	ductal	38_female
GSM2172509	ductal	38_female
GSM2172510	ductal	38_female
GSM2172511	ductal	38_female
GSM2172512	ductal	38_female
GSM2172513	ductal	38_female
GSM2172514	alpha	38_female
GSM2172515	ductal	38_female
GSM2172516	ductal	38_female
GSM2172517	acinar	38_female
GSM2172518	ductal	38_female
GSM2172519	alpha	38_female
GSM2172520	ductal	38_female
GSM2172521	beta	38_female
GSM2172522	beta	38_female
GSM2172523	beta	38_female
GSM2172524	alpha	38_female
GSM2172525	alpha	38_female
GSM2172526	alpha	38_female
GSM2172527	beta	38_female
GSM2172528	alpha	38_female
GSM2172529	beta	38_female
GSM2172530	alpha	38_female
GSM2172531	alpha	38_female
